,Survived,PassengerId
0,0,892
1,1,893
2,0,894
3,0,895
4,1,896
5,1,897
6,1,898
7,1,899
8,1,900
9,0,901
10,0,902
11,0,903
12,1,904
13,0,905
14,1,906
15,1,907
16,0,908
17,0,909
18,0,910
19,0,911
20,0,912
21,1,913
22,1,914
23,1,915
24,1,916
25,0,917
26,1,918
27,0,919
28,0,920
29,0,921
30,0,922
31,0,923
32,1,924
33,0,925
34,1,926
35,0,927
36,1,928
37,0,929
38,1,930
39,1,931
40,1,932
41,0,933
42,0,934
43,0,935
44,1,936
45,0,937
46,1,938
47,0,939
48,1,940
49,0,941
50,0,942
51,0,943
52,0,944
53,1,945
54,0,946
55,0,947
56,0,948
57,1,949
58,0,950
59,1,951
60,0,952
61,0,953
62,0,954
63,1,955
64,1,956
65,0,957
66,0,958
67,0,959
68,1,960
69,1,961
70,1,962
71,0,963
72,0,964
73,0,965
74,1,966
75,0,967
76,0,968
77,1,969
78,0,970
79,0,971
80,0,972
81,0,973
82,0,974
83,0,975
84,0,976
85,0,977
86,0,978
87,1,979
88,0,980
89,1,981
90,1,982
91,0,983
92,1,984
93,0,985
94,0,986
95,1,987
96,1,988
97,0,989
98,0,990
99,0,991
100,1,992
101,0,993
102,0,994
103,1,995
104,0,996
105,0,997
106,1,998
107,1,999
108,0,1000
109,0,1001
110,0,1002
111,1,1003
112,0,1004
113,0,1005
114,0,1006
115,0,1007
116,0,1008
117,1,1009
118,0,1010
119,0,1011
120,1,1012
121,0,1013
122,1,1014
123,0,1015
124,1,1016
125,1,1017
126,0,1018
127,1,1019
128,0,1020
129,0,1021
130,0,1022
131,1,1023
132,0,1024
133,0,1025
134,0,1026
135,0,1027
136,0,1028
137,0,1029
138,1,1030
139,0,1031
140,0,1032
141,1,1033
142,0,1034
143,0,1035
144,0,1036
145,0,1037
146,0,1038
147,0,1039
148,0,1040
149,0,1041
150,1,1042
151,0,1043
152,0,1044
153,0,1045
154,0,1046
155,1,1047
156,1,1048
157,1,1049
158,0,1050
159,0,1051
160,1,1052
161,1,1053
162,1,1054
163,0,1055
164,0,1056
165,1,1057
166,0,1058
167,0,1059
168,1,1060
169,1,1061
170,0,1062
171,0,1063
172,0,1064
173,0,1065
174,0,1066
175,1,1067
176,1,1068
177,1,1069
178,1,1070
179,1,1071
180,0,1072
181,0,1073
182,1,1074
183,0,1075
184,1,1076
185,0,1077
186,1,1078
187,0,1079
188,0,1080
189,0,1081
190,0,1082
191,1,1083
192,0,1084
193,0,1085
194,1,1086
195,0,1087
196,1,1088
197,1,1089
198,0,1090
199,0,1091
200,1,1092
201,0,1093
202,0,1094
203,1,1095
204,0,1096
205,1,1097
206,0,1098
207,1,1099
208,1,1100
209,0,1101
210,0,1102
211,1,1103
212,0,1104
213,0,1105
214,0,1106
215,0,1107
216,0,1108
217,0,1109
218,1,1110
219,0,1111
220,1,1112
221,0,1113
222,1,1114
223,1,1115
224,1,1116
225,0,1117
226,1,1118
227,0,1119
228,0,1120
229,0,1121
230,0,1122
231,1,1123
232,0,1124
233,0,1125
234,0,1126
235,0,1127
236,0,1128
237,0,1129
238,0,1130
239,1,1131
240,1,1132
241,1,1133
242,1,1134
243,1,1135
244,0,1136
245,0,1137
246,0,1138
247,0,1139
248,1,1140
249,0,1141
250,1,1142
251,1,1143
252,0,1144
253,0,1145
254,0,1146
255,0,1147
256,0,1148
257,0,1149
258,1,1150
259,1,1151
260,1,1152
261,0,1153
262,0,1154
263,0,1155
264,1,1156
265,0,1157
266,0,1158
267,0,1159
268,1,1160
269,0,1161
270,0,1162
271,0,1163
272,1,1164
273,0,1165
274,0,1166
275,1,1167
276,0,1168
277,0,1169
278,0,1170
279,1,1171
280,0,1172
281,0,1173
282,0,1174
283,1,1175
284,0,1176
285,0,1177
286,0,1178
287,1,1179
288,0,1180
289,0,1181
290,1,1182
291,0,1183
292,0,1184
293,1,1185
294,0,1186
295,0,1187
296,1,1188
297,0,1189
298,0,1190
299,0,1191
300,1,1192
301,0,1193
302,0,1194
303,0,1195
304,0,1196
305,1,1197
306,0,1198
307,1,1199
308,0,1200
309,1,1201
310,0,1202
311,1,1203
312,0,1204
313,0,1205
314,1,1206
315,0,1207
316,0,1208
317,0,1209
318,0,1210
319,0,1211
320,0,1212
321,1,1213
322,0,1214
323,0,1215
324,1,1216
325,0,1217
326,1,1218
327,0,1219
328,0,1220
329,0,1221
330,1,1222
331,0,1223
332,0,1224
333,0,1225
334,0,1226
335,0,1227
336,0,1228
337,0,1229
338,0,1230
339,0,1231
340,0,1232
341,1,1233
342,0,1234
343,1,1235
344,0,1236
345,1,1237
346,0,1238
347,1,1239
348,0,1240
349,1,1241
350,1,1242
351,0,1243
352,0,1244
353,0,1245
354,0,1246
355,0,1247
356,1,1248
357,0,1249
358,1,1250
359,0,1251
360,0,1252
361,1,1253
362,1,1254
363,0,1255
364,1,1256
365,0,1257
366,0,1258
367,0,1259
368,1,1260
369,1,1261
370,0,1262
371,1,1263
372,1,1264
373,0,1265
374,1,1266
375,1,1267
376,0,1268
377,0,1269
378,0,1270
379,0,1271
380,0,1272
381,0,1273
382,0,1274
383,0,1275
384,0,1276
385,1,1277
386,0,1278
387,0,1279
388,0,1280
389,0,1281
390,0,1282
391,1,1283
392,0,1284
393,0,1285
394,1,1286
395,1,1287
396,0,1288
397,1,1289
398,0,1290
399,0,1291
400,1,1292
401,0,1293
402,1,1294
403,0,1295
404,1,1296
405,0,1297
406,0,1298
407,0,1299
408,0,1300
409,0,1301
410,0,1302
411,1,1303
412,0,1304
413,0,1305
414,1,1306
415,0,1307
416,0,1308
417,1,1309
